oath_id,author,title,reference,work_type,genre,work_date,date,reference_type,state,swearer,swearee,proposed_by,if_taken,if_refused,if_kept,if_broken,taken,impact,consequences_of_breach,statement,linguistic,gods_invoked,remarks
1477,Eupolis,Taxiarchoi,fr. 268.31 K-A,literary,Comic.,428-415,428 to 415,Oath,unknown,unknown,unknown,n/a,n/a,n/a,unknown,unknown,yes,unknown,unknown,unknown,nh ton,Zeus,This passage is too fragmentary to reconstruct the oath statement.
442,Aristophanes,Frogs,860-864,literary,Comic.,405,405,Oath,Underworld,Euripides,Dionysus; Aeschylus,n/a,n/a,n/a,unknown,unknown,yes,Fuels the quarrel between the two poets,n/a,"[That he is ready to bite and be bitten (metaphorically in the trial) before Aeschylus]
 ΕΥ. Ἕτοιμός εἰμ’ ἔγωγε, κοὐκ ἀναδύομαι,  
  δάκνειν, δάκνεσθαι πρότερος, εἰ τούτῳ δοκεῖ,
  τἄπη, τὰ μέλη, τὰ νεῦρα τῆς τραγῳδίας,
  καὶ νὴ Δία τὸν Πηλέα γε καὶ τὸν Αἴολον 
  καὶ τὸν Μελέαγρον κἄτι μάλα τὸν Τήλεφον.",nh,Zeus,Sommerstein ad 861 remarks that Euripides speaks of the coming contest as if it were a cock-fight.
1027,Aristophanes,Knights,899,literary,Comic.,424,424,Oath,Athens,Demos,Sausage-seller,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That he was told the same thing by a man from Crapton]
  Νὴ τὸν Ποσειδῶ καὶ πρὸς ἐμὲ τοῦτ’ εἶπ’ ἀνὴρ Κόπρειος.",nh ton,Poseidon,"What he has been told is that Paphlagon had deliberately sold silphium stalks cheaply so that people would buy them and eat them and fart in court (and thus kill Demos with a foul smell). On the pun ""Crapton"" for the deme Kopros (""dung"" in Greek), see Sommerstein ad 899."
1924,Xenophon,Oeconomicus,12.12.1-4,literary,Dialogue,date uncertain,440 to 430,Oath,Athens,Ischomachus,Socrates,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That those who sleep too much are also (like drunkards) unable to show the proper concern about things for which they are responsible]
 Οἱ οὖν τούτου ἀκρατεῖς μόνοι, ἐγὼ ἔφην, ἀδύνατοί εἰσιν ἐπιμελεῖσθαι ἢ καὶ 
ἄλλοι τινές; Ναὶ μὰ Δί’, ἔφη ὁ Ἰσχόμαχος, καὶ οἵ γε τοῦ ὕπνου·","ma, nai",Zeus,
911,Aristophanes,Wealth,1202-1203,literary,Comic.,388,388,Oath,Athens,Old Woman,Chremylus,n/a,n/a,n/a,unknown,unknown,yes,Highlights the Old Woman's desire for the young man,n/a,"[That if he pledges to her that the young man will come to her, she will carry the pots]
  Ἀλλ’ εἴ γε μέντοι νὴ Δί’ ἐγγυᾷ σύ μοι 
  ἥξειν ἐκεῖνον ὡς ἔμ’, οἴσω τὰς χύτρας.",nh,Zeus,
854,Aristophanes,Ecclesiazusae,603,literary,Comic.,Probably 391 (see Sommerstein),Probably 391 (see Sommerstein) (391 to 390),Oath,Athens,n/a,n/a,n/a,n/a,n/a,unknown,unknown,no,n/a,n/a,[That he has deposited all the property that he had into the central store],ork,unknown,"Here, Blepyrus suggests a hypothetical false oath that could be taken by those who do not want to deposit their wealth into this new central store created by the women."
1861,Xenophon,Oeconomicus,4.14,literary,Dialogue,date uncertain,After the death of Cyrus (401) (401 to 399),Oath,Athens,Critobulus,Socrates,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That the (Persian) king must be concerned that the parks in which he himself spends time be furnished in the finest manner possible with trees and all the other fine things that the eath produces]
 Νὴ Δί’, ἔφη ὁ Κριτόβουλος, ἀνάγκη τοίνυν, ὦ Σώκρατες, 
ἔνθα γε διατρίβει αὐτός, καὶ ὅπως ὡς κάλλιστα κατεσκευασμένοι ἔσονται οἱ παράδεισοι ἐπιμελεῖσθαι δένδρεσι καὶ τοῖς  ἄλλοις ἅπασι καλοῖς ὅσα ἡ γῆ φύει.",nh,Zeus,
507,Aristophanes,Frogs,1221-1222,literary,Comic.,405,405,Oath,Underworld,Euripides,Dionysus; Aeschylus,n/a,n/a,n/a,unknown,unknown,yes,Shows Euripides' confidence,n/a,"[That he is not going to worry about the ""oil-flask"" joke (which Dionysus says is about to blow up into a [metaphorical] storm)]
 Τὸ ληκύθιον γὰρ τοῦτο πνευσεῖται πολύ.
ΕΥ. Οὐδ’ ἂν μὰ τὴν Δήμητρα φροντίσαιμί γε·",ma thn,Demeter,"Euripides believes in the truth of the oath he swears, but, as it will turn out, the ""oil-flask"" joke is going to cause him some trouble. For further details concerning the joke, see Sommerstein ad 1198-1247."
1532,Thucydides,History,1.53.2,literary,Hist.,403-395,446/5 (446),Oath,unknown,Representatives; Representatives,Representatives; Representatives,unknown,Peace treaty formalised,Hostilities will continue,unknown,unknown,yes,see remarks,unknown,"[? That they would abide by the following terms:
1. The peace was to last for thirty years
2. Athens was to give up Nisaea, Pagae, Troezen and Achaea
3. Neither side was to make an armed attack on the other
4. Disputes were to be submitted to arbitration
5. Each side was to keep what it possessed at the date of the conclusion of the treaty
6. Lists of the allies on each side were included
7. Any state not listed (except Argos) could ally itself with either side
8. Athens could establish friendly relations (but not an alliance) with Argos]",spond,unknown,"After they had fought against the Athenians at Corcyra the Corinthians sent a messenger to the Athenians and accused them of having broken the treaty. 
Thucydides indicates that the Corinthian messenger was not carrying the herald's wand to avoid giving the impression that they were at a state of war.  
For other references to the Thirty Years' Peace see also oath id 1524."
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1162,Aristophanes,Lysistrata,142-143,literary,Comic.,411,411,Oath,Athens,Lampito,Lysistrata,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That it is difficult for women to sleep alone without a penis]
 Χαλεπὰ μὲν ναὶ τὼ σιὼ
  γυναῖκας ὑπνῶν ἐστ’ ἄνευ ψωλᾶς μόνας.",nai tw,The twin gods,Swearing by the Dioscuri is typically Spartan practice; cf. oath id 1216 with cross references for other invocations of the Dioscuri in this play.
1115,,IC IV,"72, Col III, lines 15-16",inscriptional,Public,about 450,About 450 (460 to 440),Oath,Gortyn,Judge (dikastes),unknown,unknown,His decision will be valid,It will not be valid,unknown,unknown,n/a,unknown,unknown,[? That his verdict was true],omos,unknown,"The text indicates that if a stranger helped a divorced woman carry off property that rightfully belonged to her ex-husband he is to pay ten staters, plus double the value of whatever the judge swears he helped carry off. 
According to R. Parker, in The Cambridge Companion to Ancient Greek law, (Cambridge 2005), pp72-3, this passage indicates that ""Swearing and judging are not, therefore, two processes but one. The judge does not swear to judge justly and then opine that the third party joined in removing goods worth, as it might be, three staters; he swears that the third party removed goods worth three staters. If he has been misled by false testimony, the religious guilt is none the less his"". 
For other references to the oath sworn by the judge at Gortyn see oath id 980, 982, 1003, 1086, 1088, 1094, 1095, 1113, 1136, 1137, 1138, 1142."
3128,Plato,Gorgias,489e1-2,literary,Phil.,387-383,fictional time,Oath,Athens,Socrates,Callicles,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That he is not being ironical]
 Εἰρωνεύῃ, ὦ Σώκρατες.  {ΣΩ.} Μὰ τὸν Ζῆθον, ὦ Καλλίκλεις",ma ton,Zethus,"Socrates invokes Zethus as the very person in whose name Callicles has just - he claims - spoken ironically against him. Zethus was not a god but a hero (oaths by heroes exist, but are not very common)."
120,Euripides,Medea,735-755,literary,Trag.,413,mythical time,Oath,Corinth,Aegeus,Medea,Medea,Aegeus will be helped with his childlessness,Aegeus will not be helped in his childlessness,unknown,Aegeus will suffer the fate of those who offend the gods,yes,Medea can proceed with her revenge plan,n/a,"[That Aegeus will never expel Medea from his land, and neither will he give Medea up of his own free will, as long as he is living, if some enemy wishes to take her away]
 τούτοις δ’ ὁρκίοισι μὲν ζυγεὶς 
  ἄγουσιν οὐ μεθεῖ’ ἂν ἐκ γαίας ἐμέ·
  λόγοις δὲ συμβὰς καὶ θεῶν ἀνώμοτος
  φίλος γένοι’ ἂν κἀπικηρυκεύμασιν
  τάχ’ ἂν πίθοιο· τἀμὰ μὲν γὰρ ἀσθενῆ, 
  τοῖς δ’ ὄλβος ἐστὶ καὶ δόμος τυραννικός. 
Αι. πολλὴν ἔδειξας ἐν λόγοις προμηθίαν·
  ἀλλ’, εἰ δοκεῖ σοι, δρᾶν τάδ’ οὐκ ἀφίσταμαι.
  ἐμοί τε γὰρ τάδ’ ἐστὶν ἀσφαλέστερα,
  σκῆψίν τιν’ ἐχθροῖς σοῖς ἔχοντα δεικνύναι,
  τὸ σόν τ’ ἄραρε μᾶλλον. ἐξηγοῦ θεούς.  
Μη. ὄμνυ πέδον Γῆς πατέρα θ’ ῞Ηλιον πατρὸς
  τοὐμοῦ θεῶν τε συντιθεὶς ἅπαν γένος.
Αι. τί χρῆμα δράσειν ἢ τί μὴ δράσειν; λέγε.
Μη. μήτ’ αὐτὸς ἐκ γῆς σῆς ἔμ’ ἐκβαλεῖν ποτε,
  μήτ’ ἄλλος ἤν τις τῶν ἐμῶν ἐχθρῶν ἄγειν 
  χρήιζηι μεθήσειν ζῶν ἑκουσίωι τρόπωι.
Αι. ὄμνυμι Γαῖαν φῶς τε λαμπρὸν ῾Ηλίου
  θεούς τε πάντας ἐμμενεῖν ἅ σου κλύω.
Μη. ἀρκεῖ· τί δ’ ὅρκωι τῶιδε μὴ ’μμένων πάθοις;
Αι. ἃ τοῖσι δυσσεβοῦσι γίγνεται βροτῶν.","omnu, ork, wmot","Gaia; HeliosEpithet(s)Medea's grandfather, shining; All the gods","This oath guarantees Medea a safe haven to which she can escape after perpetrating her crimes. On the relationship between oath and supplication, see remarks on oath id 2690."
1545,Thucydides,History,1.57.3,literary,Hist.,403-395,434/3 (434),Oath,Macedon,Philip; Derdas of Elimea; Representatives,Philip; Derdas of Elimea; Representatives,unknown,Their alliance would be formalised,There would not be an alliance,unknown,unknown,yes,King Perdiccas became hostile to Athens,unknown,[? That they would defend each other],summac,unknown,"Thucydides indicates that King Perdiccas of Macedon became hostile to the Athenians after they made this alliance with his brother Philip and Derdas of Elimea, who were making common cause against him. 
For other references to the various alliances between Athens and Perdiccas see oath id 256."
3578,Demosthenes,Against Boeotus 2,26,literary,Orat.,ca.347,ca.347 (348 to 346),Oath,Athens,Boeotus; Pamphilus,Mantitheus,n/a,n/a,n/a,n/a,n/a,no,Emphasises the statement,n/a,"[That Mantias dishonoured Boeotus and Pamphilus in order to show favour to Mantitheus and his mother]
ὅτι νὴ Δία, ὡς οὗτοι φήσουσιν, ἐμοὶ χαριζόμενος καὶ τῇ ἐμῇ μητρὶ τούτους ἠτίμαζεν.",nh,Zeus,"Mantitheus asks why, if his mother had not been a lawfully espoused wife and had brought no dowry, yet Plangon had done so, Mantias acknowledged him and raised him, instead of Boeotus and Pamphilus. He imagines that ""these men"" will respond in this way to his question."
570,,IvO,"9, 2",inscriptional,Public,550-500 or ca.500,550-500 or ca.500 (549 to 500),Oath,Elis,Representatives; Representatives,Representatives; Representatives,unknown,Their alliance would be formalised,There would not be an alliance,unknown,unknown,yes,unknown,unknown,[? That they would defend each other],summac,unknown,"This is an alliance between the Eleans and the ""Erwaoioi"".  The text literally reads συνμαχία rather than συμμαχία.  
Meiggs and Lewis #17 commented on the absence of an explicit oath in this treaty.  
Dubois (in SEG 35.378) suggested that the treaty involved not Heraea in Arcadia, but rather Eua in the Thyreatis."
3082,Plato,Lysis,213c9,literary,Phil.,399-388,409 to 399,Oath,Athens,Menexenus,Socrates,n/a,n/a,n/a,unknown,unknown,yes,Emphasises his state of perplexity,n/a,"[That he cannot see a way to make sense of their arguments]
 Οὐ μὰ τὸν Δία, ἔφη, ὦ Σώκρατες, οὐ πάνυ εὐπορῶ ἔγωγε.",ma ton,Zeus,Socrates admits the same. Cf. oath id 3083.
1816,Aristotle,Metaphysics,983b31-33,literary,Phil.,335-322,n/a (0),Discussion,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,ork,n/a,"Here Aristotle refers to the view held by ""some people"" that the very ancient thinkers who ""first formulated ideas about the gods"" regarded water as the primary substance (as Thales did later).  Those whom Aristotle is citing regarded Thales’ theory as just a formalization of traditional beliefs, beliefs evidenced by what the poets say about the oath of the gods being sworn by the water of Styx. Their argument was that what is most ancient is most revered; the oath (or Oath) is what is most revered; water was believed to be the gods' oath-object; therefore water must have been believed to be the most ancient thing in the universe."
2739,Lycurgus,Against Leocrates,75,literary,Orat.,330,330,Oath,Athens,Lycurgus,Dikastai,n/a,n/a,n/a,n/a,n/a,yes,Emphasises the statement,n/a,"[That the laws of old and the principles of those who drew them up in the beginning are an honour to the polis]
 ἐγκώμιον γὰρ νὴ τὴν Ἀθηνᾶν εἰσι τῆς πόλεως οἱ παλαιοὶ νόμοι καὶ τὰ ἔθη τῶν ἐξ ἀρχῆς ταῦτα κατασκευασάντων.",nh thn,Athena,
823,Aristophanes,Ecclesiazusae,686-687,literary,Comic.,Probably 391 (see Sommerstein),Probably 391 (see Sommerstein) (391 to 390),Oath,Athens,Praxagora,Blepyrus,n/a,n/a,n/a,unknown,unknown,yes,Highlights Praxagora's frustration,n/a,"[That those under kappa who go to the Cornmarket Colonnade are not to eat greedily]
 τοὺς δ’ ἐκ τοῦ κάππ’ ἐς τὴν στοιὰν χωρεῖν τὴν ἀλφιτόπωλιν.
 {Βλ.}  ἵνα κάπτωσιν; {Πρ.} μὰ Δί’",ma,Zeus,"Sommerstein translates ""Eta"" rather than ""kappa"" in order to keep the pun: they are not going to the Cornmarket to ""eta up the corn"". See Sommerstein ad 686-7 for further details."
2369,Xenophon,Cyropaedia,3.1.19,literary,Biogr.,394-353,fictional time,Oath,Armenia,Tigranes,Cyrus,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That his father has learnt discretion through his defeat at the hands of Cyrus]
 Ποίαν δ’, ἔφη ὁ Κῦρος, καὶ σὺ τοῦ πατρὸς ἧτταν λέγων οὕτως ἰσχυρίζει σεσωφρονίσθαι αὐτόν; Ἧι νὴ Δί’, ἔφη, σύνοιδεν ἑαυτῷ ἐλευθερίας μὲν ἐπιθυμήσας,δοῦλος δ’ ὡς οὐδεπώποτε γενόμενος, ἃ δὲ ᾠήθη χρῆναι λαθεῖν ἢ φθάσαι ἢ ἀποβιάσασθαι, οὐδὲν τούτων ἱκανὸς γενόμενος διαπράξασθαι. σὲ δὲ οἶδεν, ἃ μὲν ἐβουλήθης ἐξαπατῆσαι αὐτόν, οὕτως ἐξαπατήσαντα ὥσπερ ἄν τις τυφλοὺς καὶ κωφοὺς καὶ μηδ’ ὁτιοῦν φρονοῦντας ἐξαπατήσειεν· ἃ δὲ ᾠήθης λαθεῖν χρῆναι, οὕτω σὲ οἶδε λαθόντα ὥστε ἃ ἐνόμιζεν ἑαυτῷ ἐχυρὰ χωρία ἀποκεῖσθαι, σὺ εἰρκτὰς ταῦτα ἔλαθες προκατασκευάσας· τάχει δὲ τοσοῦτον περιεγένου αὐτοῦ ὥστε πρόσωθεν ἔφθασας ἐλθὼν σὺν πολλῷ στόλῳ πρὶν τοῦτον τὴν παρ’ ἑαυτῷ δύναμιν ἁθροίσασθαι.",nh,Zeus,
,,,,,,,,,,,,,,,,,,,,,,,
989,Aristophanes,Knights,338,literary,Comic.,424,424,Oath,Athens,Paphlagon,Sausage-seller,n/a,n/a,n/a,unknown,unknown,yes,Emphasises his desire to speak first,n/a,"[That he should be allowed to speak first]
 Ναὶ μὰ Δία.","ma, nai",Zeus,"Paphlagon here responds to the Sausage-seller's oath with a counter-oath. The Sausage-seller will in turn respond by invoking Poseidon, an oath which supersedes Paphlagon's in strength. See oath ids 987, 988, 990."
2693,Plato,Laws,784c,literary,Phil.,357-347,fictional time,Oath,Magnesia,Law-guardians,World at large,unknown,Their attempts to prevent disregard for duty will be proven,Their attempts to prevent disregard for duty will not be proven,unknown,unknown,n/a,Intended impact- it is made clear that the person in question could not be reformed,n/a,"[That they were truly unable to reform X (person)]
 εἰσιοῦσαι δ’ εἰς τὰς οἰκίας τῶν νέων αἱ γυναῖκες, τὰ μὲν νουθετοῦσαι, τὰ δὲ καὶ ἀπειλοῦσαι, παυόντων αὐτοὺς τῆς ἁμαρτίας καὶ ἀμαθίας· ἐὰν δ’ ἀδυνατῶσι, πρὸς τοὺς νομοφύλακας ἰοῦσαι φραζόντων, οἱ δ’ εἰργόντων. ἂν δὲ καὶ ἐκεῖνοί πως ἀδυνατήσωσι, πρὸς τὸ δημόσιον ἀποφηνάντων, ἀναγράψαντές τε καὶ ὀμόσαντες ἦ μὴν ἀδυνατεῖν  τὸν καὶ τὸν βελτίω ποιεῖν.",omos,unknown,"This passage refers to a generic oath, not a specific one. It is required in cases where couples are failing in their procreative duties. Female inspectors visit the houses and try to prevent the couples from mistakes and folly. If they fail, they report to the law-guardians who themselves attempt the same thing. If they also are unable to influence whichever party of the couple is failing in their duties, they must inform the state-council and post up in writing this sworn statement. The unreformed party then has recourse to a trial, and if s/he loses, penalties are inflicted- in particular disqualification from attending various feasts and celebrations."
966,Aristophanes,Knights,82-85,literary,Comic.,424,424,Oath,Athens,Demosthenes,Nicias,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That the manliest way to die is not the way Themistocles died]
 Πῶς δῆτα, πῶς γένοιτ’ ἂν ἀνδρικώτατα;
  Βέλτιστον ἡμῖν αἷμα ταύρειον πιεῖν·
  ὁ Θεμιστοκλέους γὰρ θάνατος αἱρετώτερος. 
  {ΔΗ. }  Μὰ Δί’",ma,Zeus,"As Sommerstein remarks ad 84: ""there was a popular legend, alluded to [here]… that [Themistocles] committed suicide by drinking bull's blood in order to avoid fulfilling a promise he had made to the [Persian] King that he would help subject Greece to Persian rule""."
2386,Xenophon,Cyropaedia,4.1.23.4-6,literary,Biogr.,394-353,fictional time,Oath,Assyria,Artabazus,Cyrus,n/a,n/a,n/a,unknown,unknown,yes,Emphasises his devotion to Cyrus,n/a,"[That he will do his best to gather willing recruits for Cyrus' campaign, so as to make the sight of himself as great a pleasure to Cyrus as the sight of Cyrus now is to him]
 καὶ ὁ Κῦρος εἶπεν· Οὐκοῦν καὶ ἄλλους, ἔφη, προθύμως ἐξάξεις; ἐπομόσας οὖν ἐκεῖνος Νὴ τὸν Δί’, ἔφη, ἔστε γ’ ἂν ποιήσω καὶ σὲ ἐμὲ ἡδέως θεᾶσθαι","nh, omos",Zeus,"This is a good example to highlight the fact that an informal oath, most commonly an invocation of Zeus as we have here, was nevertheless regarded as a an act of swearing, qualified here by the narrator's explanation ""he swore"". The man in question is the same man who had pretended to be one of Cyrus' kinsmen earlier on in the Cyropaedia and chased after him in order to get a kiss- see oath ids 2318-2320."
97,Euripides,Cyclops,154,literary,Satyr.,?408,mythical time,Oath,Sicily,Silenus,Odysseus,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That Silenus has not seen the wine, but smells it]
 Οδ. εἶδες γὰρ αὐτήν; Σι. οὐ μὰ Δί’, ἀλλ’ ὀσφραίνομαι.",ma,Zeus,
1953,Xenophon,Hellenica,4.8.26,literary,Hist.,385-354,390,Oath,Thrace,Thrasybulus; Amedocus; Seuthes,Thrasybulus; Amedocus; Seuthes,unknown,Their alliance would be formalised,There would not be an alliance,unknown,unknown,yes,see remarks,unknown,[? That they would defend each other],summac,unknown,"Xenophon states that the Athenian general Thrasybulus of Steiria was operating near the Hellespont with a fleet of 40 triremes. 
Thrasybulus reconciled Amedocus the king of the Odrysians with Seuthes, and then made them friends and allies of the Athenians. 
See also oath id 302 for the oaths sworn at Athens."
3597,Demosthenes,Against Phaenippus,29,literary,Orat.,320s?,320s (?) (362 to 324),Oath,Athens,Phaenippus,Speaker,unknown,He will be able to proceed with the antidosis,He will not be able to proceed with the antidosis,unknown,unknown,yes,see remarks,see remarks,"[That he will give a true and honest inventory of his property, except that in the silver mines, all of which the laws have made exempt from taxes]",wrk,unknown,"The speaker addresses Phaenippus, and tells him that he will prove that his statement is false, and that he has come before the jurors as a perjured man. 
The speaker then describes how Phaenippus opened the seals of the buildings and carried away grain and wine from within, sold thirty minas of timber, and fabricated debts. 
See also oath id 3594"
1050,,"Meiggs and Lewis, GHI","32, 41-45",inscriptional,Public,465-450,465 to 450,Oath,Halicarnassus,Lygdamis; Representatives; Representatives,Lygdamis; Representatives; Representatives,unknown,The agreement would be formalised,There would not be an agreement,unknown,unknown,yes,unknown,unknown,[? That they would abide by the terms of the agreement],ork,unknown,"This inscription records an agreement between Lygdamis (the tyrant) and the Halicarnassians and the Salmakitians. 
Part of the agreement was to make the law referred to in oath id 1048 and 1049."
435,Aristophanes,Frogs,738-739,literary,Comic.,405,405,Oath,Underworld,Slave,Xanthias,n/a,n/a,n/a,unknown,unknown,yes,Xanthias explains why Dionysus is a fine master,n/a,"[That Xanthias' master is a fine gentleman]
  Νὴ τὸν Δία τὸν σωτῆρα, γεννάδας ἀνὴρ 
  ὁ δεσπότης σου.",nh ton,ZeusEpithet(s)the saviour,See Sommerstein ad 738 on the identity of the slave.
1400,Antiphanes,Misoponeros,fr. 157.4-5 K-A,literary,Comic.,387-322,387 to 322,Oath,unknown,unknown,unknown,n/a,n/a,n/a,unknown,unknown,yes,Emphasises the statement,n/a,"[That the Scythians do not have nurses and tutors]
 μὰ Δί' οὐχὶ τίτθας εἰσάγουσι βασκάνους,
καὶ παιδαγωγοὺς αὖθις",ma,Zeus,This short fragment contains four informal oaths. See oath ids 1400-1403. Clearly the speaker wishes his statements to be emphatic and taken seriously.
2105,Xenophon,Anabasis,2.3.27-9,literary,Hist.,ca.370-355,401,Oath,Persia,Greek generals; Greek lochagoi,Tissaphernes; The brother of the King's wife,Tissaphernes,The treaty would be formalised,There would not be a treaty,unknown,unknown,yes,see remarks,unknown,"[That they would proceed as they would through a friendly country, doing no damage and taking no food and drink from the land unless the Persians did not provide them with a market, and if they did provide a market to obtain provisions by purchase]
 ἦ μὴν πορεύσεσθαι ὡς διὰ φιλίας ἀσινῶς σῖτα καὶ ποτὰ λαμβάνοντας ὁπόταν μὴ ἀγορὰν παρέχωμεν, ἐὰν δὲ παρέχωμεν ἀγοράν, ὠνουμένους ἕξειν τὰ ἐπιτήδεια.","omos, wmos",unknown,"Three days after Tissaphernes spoke with the Greeks he returned with a message from the King that they would be spared. 
Tissaphernes and the brother of the King's wife swore that they would lead the Greeks back home and provide them with supplies (see oath id 2098). 
The Greeks on their part were to swear that they would proceed as they would through a friendly country and take no food from the land unless the Persians did not provide them with a market. 
After the oaths were exchanged Tissaphernes returned to the King, having said that he would return fully equipped to take the Greeks back home and return to his own satrapy. 
For other references to this oath see oath id 2108, 2111, 2168, 2172, 3854, 3855, 3856, 3857."
2555,Aeschines,Against Timarchus,52,literary,Orat.,345,345,Oath,Athens,Aeschines,Dikastai,n/a,n/a,n/a,n/a,n/a,yes,Emphasises the statement,unknown,"[That he does not know if he can beat around the bush all day and avoid saying outright that Timarchus has been a prostitute]
 μὰ τὸν Διόνυσον οὐκ οἶδ’ ὅπως δυνήσομαι περιπλέκειν ὅλην τὴν ἡμέραν",ma ton,Dionysus,"Aeschines argues that if Timarchus has been earning his living with his body in the home of Misgolas and another, then it will be clear that he has not only been a kept lover, but also a prostitute."
3714,Demosthenes,Against Neaera,4,literary,Orat.,343-340,349/8 (349),Oath,Athens,Apollodorus,Presiding magistrate,unknown,He can take office in the boule,He cannot take office in the boule,unknown,unknown,yes,see remarks,unknown,"[That they will give counsel in accordance with the laws;
That they will give the best counsel to the polis/to the demos of the Athenians;
That they will not imprison any Athenian citizen who offers three sureties taxed in the same class as themselves, except any person found guilty of conspiring to betray the city or to overthrow the democracy, or any tax-farmer or his surety or collector being in default;
That they will neither exile, nor imprison, nor put to death anybody without trial;
That they will to expose anyone who has been appointed by lot whom they know is unsuitable to serve in the boule (added 403/2);
That they will sit in the letter section to which they are allotted (added 410/09);
That if someone coins money of silver in the poleis and does not use Athenian coins or weights or measures, but uses foreign coins and weights and measures, they shall impeach him according to the former decree proposed by Clearchus (added ca.448);
That they are not less than thirty years old;
That they will not allow any denunciation or summary arrest arising out of past events, except in the case of those who fled (added 403/2);
That they will not put to the vote anything contrary to the laws]",omwm,unknown,"Theomnestus observes that Apollodorus, as a member of the boule, had sworn to give the best counsel to the Athenian demos. 
See also oath id 1775."
1729,Aristotle,Rhetoric,1375b18,literary,Phil.,c. 330,c. 330 (335 to 322),Oath,Athens,Dikastai,Presiding magistrate,Presiding magistrate,They will be allowed to judge,They will not be allowed to judge,Many blessings (?),Destruction of self and household (?),yes,A fair trial,unknown,"[That they will vote according to the laws and decrees of the Athenian people and the Council of Five Hundred; <and concerning matters about which there are no laws, they will judge according to their perfectly honest opinion, and not from favour nor from enmity>. Nor will they accept gifts for judging, nor will any other man or woman do so on their behalf with their knowledge. And they will give an equal hearing to the accuser and the defendant alike, and cast their vote in relation to the actual matter in issue.]",ork,unknown,"Aristotle states that dikastai swear ""That they would use their best judgement"" (ἐὰν δὲ ὁ γεγραμμένος ᾖ πρὸς τὸ πρᾶγμα, τό τε “γνώμῃ τῇ ἀρίστῃ” λεκτέον ὅτι οὐ τοῦ παρὰ τὸν νόμον ἕνεκα δικάζειν ἐστίν, ἀλλ’ ἵνα, ἐὰν ἀγνοήσῃ τί λέγει ὁ νόμος, μὴ ἐπιορκῇ). 
This is a reference to part of the dikasts' oath (cf. Eumenides 674-5 and remarks on oath id 214). 
 We are told that this oath does not justify a dikast in deciding contrary to the law but is intended to relieve him from the charge of perjury.  
For the details of the Heliastic oath see oath id 3494."
2806,Lysias,Against Andocides,38-9,literary,Orat.,399,403/2 (403),Oath,Athens,The men of the Piraeus; The men of the asty,The men of the Piraeus; The men of the asty,unknown,Their reconciliation would be formalised,Tensions would continue,unknown,unknown,yes,see remarks,unknown,"[That they would not recall grievances against any citizens except the Thirty <and the Ten> and the Eleven, and not even against any of these who is willing to render account of the office he conducted]",ork,unknown,"The speaker argues that Andocides had nothing to do with the agreement between the men from Piraeus and the men from the asty. 
He goes on to say that the oaths took place not for the sake of one man, but for the sake of all the Athenians. 
This is a typically far-fetched attempt to exclude Andocides from the benefits of the amnesty:  the agreements, the speaker claims, were between the two sides in the civil war, and therefore cannot be invoked by Andocides who was on neither side.  A different but cognate line is taken in the Agoratus case (13.89-90; see oath id 2829), where it is argued that the amnesty doesn’t apply to that case because the prosecutor and the defendant were on the same side in the civil war. 
See also oath id 1796."
1683,Thucydides,History,5.14.4,literary,Hist.,403-395,451 or 450 (451 to 450),Oath,Sparta,Representatives; Representatives,Representatives; Representatives,unknown,Peace treaty formalised,Hostilities will continue,unknown,unknown,yes,Sparta and Argos remained at peace for thirty years,unknown,"[? That they would abide by the following terms:
1. The peace was to last for thirty years
2. Neither side was to make an armed attack on the other
3. Neither side was to make an alliance with an enemy of the other]","spend, spond",unknown,"Thucydides observes that the thirty years' peace between Sparta and Argos was about to expire, and that the Argives were unwilling to make another treaty (σπένδεσθαι ) unless the territory of Cynuria was restored to them. 
Thucydides provides us with no other details about the treaty. 
See also oath id 1687, 1691, 1712."
